f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0008,0.0001,0.0002
2.00,0.0007,0.0001,0.0001
3.00,0.0007,0.0001,0.0001
4.00,0.0008,0.0001,0.0002
5.00,0.0010,0.0001,0.0002
6.00,0.0010,0.0001,0.0002
7.00,0.0010,0.0001,0.0002
8.00,0.0009,0.0001,0.0002
9.00,0.0010,0.0002,0.0001
10.00,0.0011,0.0001,0.0001
11.00,0.0013,0.0001,0.0002
12.00,0.0014,0.0002,0.0003
13.00,0.0011,0.0001,0.0002
14.00,0.0017,0.0002,0.0005
15.00,0.0021,0.0003,0.0004
16.00,0.0021,0.0002,0.0003
17.00,0.0019,0.0003,0.0004
18.00,0.0025,0.0004,0.0004
19.00,0.0023,0.0002,0.0004
20.00,0.0028,0.0005,0.0005
21.00,0.0036,0.0007,0.0006
22.00,0.0035,0.0006,0.0006
23.00,0.0034,0.0006,0.0007
24.00,0.0065,0.0014,0.0011
25.00,0.0086,0.0017,0.0015
26.00,0.0097,0.0020,0.0019
27.00,0.0165,0.0038,0.0034
28.00,0.0561,0.0135,0.0121
29.00,0.0463,0.0111,0.0099
30.00,0.0175,0.0041,0.0037
31.00,0.0118,0.0027,0.0022
32.00,0.0060,0.0014,0.0011
33.00,0.0046,0.0010,0.0009
34.00,0.0054,0.0013,0.0012
35.00,0.0046,0.0010,0.0010
36.00,0.0031,0.0006,0.0005
37.00,0.0027,0.0005,0.0006
38.00,0.0029,0.0005,0.0004
39.00,0.0017,0.0003,0.0002
40.00,0.0022,0.0003,0.0005
41.00,0.0022,0.0004,0.0005
42.00,0.0012,0.0002,0.0003
43.00,0.0014,0.0001,0.0005
44.00,0.0018,0.0004,0.0002
45.00,0.0016,0.0003,0.0004
46.00,0.0011,0.0002,0.0002
47.00,0.0012,0.0001,0.0002
48.00,0.0012,0.0003,0.0001
49.00,0.0006,0.0001,0.0000
50.00,0.0011,0.0002,0.0002
51.00,0.0011,0.0002,0.0002
52.00,0.0005,0.0001,0.0002
53.00,0.0010,0.0001,0.0003
54.00,0.0013,0.0001,0.0003
55.00,0.0012,0.0001,0.0003
56.00,0.0018,0.0002,0.0003
57.00,0.0090,0.0014,0.0022
58.00,0.0017,0.0005,0.0002
59.00,0.0012,0.0004,0.0003
60.00,0.0005,0.0002,0.0002
61.00,0.0008,0.0002,0.0001
62.00,0.0006,0.0001,0.0001
63.00,0.0006,-0.0000,0.0001
64.00,0.0006,-0.0000,0.0000
65.00,0.0005,0.0002,0.0000
66.00,0.0004,0.0001,0.0001
67.00,0.0005,0.0001,0.0003
68.00,0.0005,0.0000,0.0001
69.00,0.0002,0.0001,0.0003
70.00,0.0003,0.0000,0.0001
71.00,0.0004,0.0001,0.0002
72.00,0.0003,0.0001,0.0003
73.00,0.0003,0.0001,0.0001
74.00,0.0004,0.0001,0.0002
75.00,0.0004,0.0000,0.0000
76.00,0.0003,0.0000,0.0001
77.00,0.0002,0.0000,0.0001
78.00,0.0004,0.0000,0.0000
79.00,0.0002,0.0001,0.0001
80.00,0.0003,-0.0000,0.0001
81.00,0.0004,0.0000,-0.0000
82.00,0.0002,0.0000,0.0000
83.00,0.0002,0.0002,0.0001
84.00,0.0004,0.0002,0.0000
85.00,0.0008,0.0014,0.0003
86.00,0.0005,0.0013,0.0003
87.00,0.0005,0.0007,0.0001
88.00,0.0004,0.0005,0.0002
89.00,0.0001,0.0002,-0.0000
90.00,0.0002,0.0001,0.0001
91.00,0.0002,0.0002,0.0001
92.00,0.0002,0.0001,-0.0001
93.00,0.0003,0.0001,-0.0000
94.00,0.0001,0.0000,-0.0000
95.00,0.0002,0.0000,0.0000
96.00,0.0002,-0.0000,0.0001
97.00,0.0002,0.0001,-0.0000
98.00,0.0003,0.0002,0.0002
99.00,0.0002,0.0002,0.0001
100.00,0.0003,0.0002,0.0002
101.00,0.0004,0.0002,0.0001
102.00,0.0001,0.0002,0.0002
103.00,0.0002,0.0000,0.0001
104.00,0.0002,0.0002,0.0001
105.00,0.0003,0.0002,0.0001
106.00,0.0002,0.0001,0.0001
107.00,0.0002,0.0002,0.0001
108.00,0.0004,0.0005,-0.0001
109.00,0.0003,0.0006,0.0003
110.00,0.0004,0.0003,0.0002
111.00,0.0006,0.0008,0.0001
112.00,0.0007,0.0012,0.0006
113.00,0.0014,0.0023,0.0014
114.00,0.0045,0.0071,0.0042
115.00,0.0018,0.0029,0.0018
116.00,0.0008,0.0014,0.0009
117.00,0.0003,0.0006,0.0005
118.00,0.0002,0.0006,0.0003
119.00,0.0003,0.0007,0.0005
120.00,0.0002,0.0003,0.0003
121.00,0.0001,0.0005,0.0003
122.00,0.0002,0.0002,0.0001
123.00,0.0002,0.0002,0.0002
124.00,0.0001,0.0001,0.0000
125.00,0.0003,0.0001,0.0003
126.00,0.0002,0.0001,0.0003
127.00,0.0002,0.0000,0.0002
128.00,0.0001,0.0000,0.0003
129.00,0.0002,0.0002,0.0002
130.00,0.0002,0.0002,0.0000
131.00,0.0002,0.0001,0.0001
132.00,0.0002,-0.0000,0.0002
133.00,0.0002,-0.0000,0.0001
134.00,0.0001,0.0001,0.0001
135.00,0.0003,0.0001,0.0004
136.00,0.0005,0.0001,0.0005
137.00,0.0003,0.0000,0.0004
138.00,0.0004,0.0002,0.0005
139.00,0.0007,0.0002,0.0009
140.00,0.0006,0.0002,0.0005
141.00,0.0017,0.0006,0.0020
142.00,0.0042,0.0018,0.0053
143.00,0.0047,0.0023,0.0062
144.00,0.0021,0.0008,0.0028
145.00,0.0012,0.0006,0.0016
